time,elev,azim
2019-10-01 00:00:00,-52.66,347.62
2019-10-01 00:15:00,-53.14,353.78
2019-10-01 00:30:00,-53.3,0.04
2019-10-01 00:45:00,-53.14,6.29
2019-10-01 01:00:00,-52.67,12.45
2019-10-01 01:15:00,-51.91,18.45
2019-10-01 01:30:00,-50.86,24.21
2019-10-01 01:45:00,-49.56,29.7
2019-10-01 02:00:00,-48.02,34.89
2019-10-01 02:15:00,-46.27,39.76
2019-10-01 02:30:00,-44.34,44.33
2019-10-01 02:45:00,-42.25,48.6
2019-10-01 03:00:00,-40.02,52.6
2019-10-01 03:15:00,-37.68,56.35
2019-10-01 03:30:00,-35.23,59.88
2019-10-01 03:45:00,-32.69,63.2
2019-10-01 04:00:00,-30.08,66.35
2019-10-01 04:15:00,-27.41,69.35
2019-10-01 04:30:00,-24.69,72.21
2019-10-01 04:45:00,-21.92,74.96
2019-10-01 05:00:00,-19.12,77.62
2019-10-01 05:15:00,-16.29,80.2
2019-10-01 05:30:00,-13.43,82.71
2019-10-01 05:45:00,-10.56,85.17
2019-10-01 06:00:00,-7.67,87.6
2019-10-01 06:15:00,-4.76,90.01
2019-10-01 06:30:00,-1.77,92.4
2019-10-01 06:45:00,1.3,94.8
2019-10-01 07:00:00,4,97.21
2019-10-01 07:15:00,6.78,99.65
2019-10-01 07:30:00,9.58,102.13
2019-10-01 07:45:00,12.36,104.66
2019-10-01 08:00:00,15.12,107.25
2019-10-01 08:15:00,17.85,109.92
2019-10-01 08:30:00,20.53,112.68
2019-10-01 08:45:00,23.15,115.55
2019-10-01 09:00:00,25.71,118.55
2019-10-01 09:15:00,28.2,121.68
2019-10-01 09:30:00,30.61,124.97
2019-10-01 09:45:00,32.92,128.44
2019-10-01 10:00:00,35.12,132.1
2019-10-01 10:15:00,37.19,135.96
2019-10-01 10:30:00,39.11,140.04
2019-10-01 10:45:00,40.88,144.36
2019-10-01 11:00:00,42.46,148.9
2019-10-01 11:15:00,43.84,153.67
2019-10-01 11:30:00,45.01,158.65
2019-10-01 11:45:00,45.93,163.83
2019-10-01 12:00:00,46.6,169.16
2019-10-01 12:15:00,47,174.6
2019-10-01 12:30:00,47.13,180.09
2019-10-01 12:45:00,46.99,185.58
2019-10-01 13:00:00,46.57,191.02
2019-10-01 13:15:00,45.88,196.34
2019-10-01 13:30:00,44.94,201.5
2019-10-01 13:45:00,43.76,206.47
2019-10-01 14:00:00,42.37,211.23
2019-10-01 14:15:00,40.77,215.76
2019-10-01 14:30:00,39,220.05
2019-10-01 14:45:00,37.06,224.12
2019-10-01 15:00:00,34.98,227.97
2019-10-01 15:15:00,32.77,231.61
2019-10-01 15:30:00,30.46,235.06
2019-10-01 15:45:00,28.04,238.34
2019-10-01 16:00:00,25.55,241.47
2019-10-01 16:15:00,22.98,244.45
2019-10-01 16:30:00,20.35,247.31
2019-10-01 16:45:00,17.66,250.07
2019-10-01 17:00:00,14.93,252.73
2019-10-01 17:15:00,12.17,255.31
2019-10-01 17:30:00,9.38,257.83
2019-10-01 17:45:00,6.58,260.3
2019-10-01 18:00:00,3.8,262.73
2019-10-01 18:15:00,1.11,265.13
2019-10-01 18:30:00,-2.01,267.52
2019-10-01 18:45:00,-4.98,269.91
2019-10-01 19:00:00,-7.9,272.31
2019-10-01 19:15:00,-10.79,274.74
2019-10-01 19:30:00,-13.67,277.19
2019-10-01 19:45:00,-16.53,279.7
2019-10-01 20:00:00,-19.37,282.27
2019-10-01 20:15:00,-22.18,284.92
2019-10-01 20:30:00,-24.95,287.67
2019-10-01 20:45:00,-27.69,290.53
2019-10-01 21:00:00,-30.36,293.52
2019-10-01 21:15:00,-32.98,296.67
2019-10-01 21:30:00,-35.53,300
2019-10-01 21:45:00,-37.98,303.53
2019-10-01 22:00:00,-40.34,307.28
2019-10-01 22:15:00,-42.58,311.29
2019-10-01 22:30:00,-44.68,315.57
2019-10-01 22:45:00,-46.62,320.16
2019-10-01 23:00:00,-48.38,325.05
2019-10-01 23:15:00,-49.92,330.27
2019-10-01 23:30:00,-51.24,335.79
2019-10-01 23:45:00,-52.29,341.6
2019-10-02 00:00:00,-53.06,347.65
2019-10-02 00:15:00,-53.53,353.86
2019-10-02 00:30:00,-53.68,0.17
2019-10-02 00:45:00,-53.52,6.48
2019-10-02 01:00:00,-53.04,12.69
2019-10-02 01:15:00,-52.26,18.73
2019-10-02 01:30:00,-51.2,24.53
2019-10-02 01:45:00,-49.88,30.05
2019-10-02 02:00:00,-48.33,35.25
2019-10-02 02:15:00,-46.57,40.14
2019-10-02 02:30:00,-44.62,44.72
2019-10-02 02:45:00,-42.52,48.99
2019-10-02 03:00:00,-40.28,52.99
2019-10-02 03:15:00,-37.92,56.74
2019-10-02 03:30:00,-35.46,60.27
2019-10-02 03:45:00,-32.92,63.59
2019-10-02 04:00:00,-30.3,66.74
2019-10-02 04:15:00,-27.62,69.73
2019-10-02 04:30:00,-24.89,72.59
2019-10-02 04:45:00,-22.12,75.33
2019-10-02 05:00:00,-19.31,77.99
2019-10-02 05:15:00,-16.48,80.56
2019-10-02 05:30:00,-13.62,83.07
2019-10-02 05:45:00,-10.74,85.53
2019-10-02 06:00:00,-7.85,87.96
2019-10-02 06:15:00,-4.95,90.36
2019-10-02 06:30:00,-1.97,92.75
2019-10-02 06:45:00,1.14,95.15
2019-10-02 07:00:00,3.82,97.56
2019-10-02 07:15:00,6.59,100
2019-10-02 07:30:00,9.39,102.48
2019-10-02 07:45:00,12.17,105.01
2019-10-02 08:00:00,14.92,107.6
2019-10-02 08:15:00,17.64,110.27
2019-10-02 08:30:00,20.31,113.04
2019-10-02 08:45:00,22.93,115.91
2019-10-02 09:00:00,25.48,118.9
2019-10-02 09:15:00,27.96,122.04
2019-10-02 09:30:00,30.36,125.33
2019-10-02 09:45:00,32.66,128.79
2019-10-02 10:00:00,34.84,132.45
2019-10-02 10:15:00,36.9,136.31
2019-10-02 10:30:00,38.81,140.38
2019-10-02 10:45:00,40.57,144.68
2019-10-02 11:00:00,42.14,149.21
2019-10-02 11:15:00,43.51,153.95
2019-10-02 11:30:00,44.66,158.91
2019-10-02 11:45:00,45.57,164.06
2019-10-02 12:00:00,46.23,169.35
2019-10-02 12:15:00,46.62,174.75
2019-10-02 12:30:00,46.75,180.21
2019-10-02 12:45:00,46.59,185.66
2019-10-02 13:00:00,46.17,191.05
2019-10-02 13:15:00,45.48,196.33
2019-10-02 13:30:00,44.55,201.45
2019-10-02 13:45:00,43.37,206.39
2019-10-02 14:00:00,41.98,211.12
2019-10-02 14:15:00,40.39,215.62
2019-10-02 14:30:00,38.62,219.89
2019-10-02 14:45:00,36.69,223.94
2019-10-02 15:00:00,34.62,227.78
2019-10-02 15:15:00,32.42,231.41
2019-10-02 15:30:00,30.11,234.85
2019-10-02 15:45:00,27.7,238.13
2019-10-02 16:00:00,25.21,241.24
2019-10-02 16:15:00,22.65,244.22
2019-10-02 16:30:00,20.02,247.08
2019-10-02 16:45:00,17.34,249.83
2019-10-02 17:00:00,14.62,252.49
2019-10-02 17:15:00,11.86,255.07
2019-10-02 17:30:00,9.07,257.59
2019-10-02 17:45:00,6.28,260.05
2019-10-02 18:00:00,3.5,262.48
2019-10-02 18:15:00,0.84,264.89
2019-10-02 18:30:00,-2.34,267.28
2019-10-02 18:45:00,-5.3,269.66
2019-10-02 19:00:00,-8.21,272.06
2019-10-02 19:15:00,-11.1,274.48
2019-10-02 19:30:00,-13.98,276.94
2019-10-02 19:45:00,-16.84,279.45
2019-10-02 20:00:00,-19.68,282.02
2019-10-02 20:15:00,-22.5,284.67
2019-10-02 20:30:00,-25.28,287.41
2019-10-02 20:45:00,-28.01,290.27
2019-10-02 21:00:00,-30.69,293.27
2019-10-02 21:15:00,-33.32,296.42
2019-10-02 21:30:00,-35.87,299.75
2019-10-02 21:45:00,-38.33,303.29
2019-10-02 22:00:00,-40.69,307.05
2019-10-02 22:15:00,-42.94,311.07
2019-10-02 22:30:00,-45.05,315.37
2019-10-02 22:45:00,-46.99,319.98
2019-10-02 23:00:00,-48.76,324.9
2019-10-02 23:15:00,-50.31,330.15
2019-10-02 23:30:00,-51.63,335.72
2019-10-02 23:45:00,-52.69,341.57
2019-10-03 00:00:00,-53.46,347.67
2019-10-03 00:15:00,-53.92,353.94
2019-10-03 00:30:00,-54.07,0.31
2019-10-03 00:45:00,-53.9,6.67
2019-10-03 01:00:00,-53.41,12.93
2019-10-03 01:15:00,-52.62,19.02
2019-10-03 01:30:00,-51.54,24.85
2019-10-03 01:45:00,-50.21,30.4
2019-10-03 02:00:00,-48.64,35.62
2019-10-03 02:15:00,-46.86,40.52
2019-10-03 02:30:00,-44.9,45.11
2019-10-03 02:45:00,-42.79,49.39
2019-10-03 03:00:00,-40.53,53.39
2019-10-03 03:15:00,-38.17,57.14
2019-10-03 03:30:00,-35.7,60.66
2019-10-03 03:45:00,-33.14,63.98
2019-10-03 04:00:00,-30.52,67.12
2019-10-03 04:15:00,-27.83,70.11
2019-10-03 04:30:00,-25.1,72.96
2019-10-03 04:45:00,-22.32,75.7
2019-10-03 05:00:00,-19.51,78.35
2019-10-03 05:15:00,-16.67,80.92
2019-10-03 05:30:00,-13.81,83.43
2019-10-03 05:45:00,-10.93,85.88
2019-10-03 06:00:00,-8.04,88.31
2019-10-03 06:15:00,-5.13,90.71
2019-10-03 06:30:00,-2.17,93.1
2019-10-03 06:45:00,0.97,95.5
2019-10-03 07:00:00,3.63,97.91
2019-10-03 07:15:00,6.41,100.35
2019-10-03 07:30:00,9.19,102.83
2019-10-03 07:45:00,11.97,105.36
