event_timestamp,consumo_rede,injecao_rede,producao_total
1569919500,0.04,0.0,0.01
1569955500,0.104,0.0,0.0
1569985200,0.052,0.0,0.0
1570022100,0.026,0.057,0.105
1570023900,0.014,0.038,0.097
1570033800,0.046,0.001,0.019
1570049100,0.093,0.0,0.0
1570067100,0.023,0.0,0.0
1570068900,0.052,0.0,0.0
1570101300,0.0,0.031,0.109
1570119300,0.018,0.001,0.027
1570138200,0.085,0.0,0.0
1570167900,0.054,0.0,0.0
1570194000,0.036,0.008,0.041
1570199400,0.04,0.019,0.081
1570219200,0.08,0.0,0.0
1570224600,0.05,0.0,0.0
1570234500,0.042,0.0,0.0
1570248000,0.032,0.0,0.0
1570248900,0.044,0.0,0.0
1570292100,0.034,0.0,0.024
1570300200,0.115,0.0,0.0
1570311000,0.047,0.0,0.0
1570316400,0.072,0.0,0.0
1570338900,0.082,0.0,0.0
1570353300,0.031,0.035,0.098
1570360500,0.0,0.058,0.119
1570368600,0.0,0.029,0.087
1570380300,0.073,0.0,0.007
1570396500,0.09,0.0,0.0
1570402800,0.043,0.0,0.0
1570411800,0.026,0.0,0.0
1570423500,0.078,0.0,0.0
1570425300,0.055,0.0,0.0
1570431600,0.088,0.0,0.001
1570452300,0.0,0.059,0.099
1570506300,0.032,0.0,0.0
1570517100,0.066,0.0,0.001
1570559400,0.179,0.0,0.0
1570560300,0.121,0.0,0.0
1570675500,0.044,0.0,0.0
1570679100,0.072,0.0,0.0
1570700700,0.025,0.047,0.103
1570717800,0.032,0.021,0.075
1570718700,0.0,0.033,0.069
1570768200,0.089,0.0,0.0
1570900500,0.093,0.0,0.003
1570966200,0.002,0.051,0.104
1570973400,0.003,0.032,0.139
1570987800,0.031,0.0,0.0
1571001300,0.071,0.0,0.0
1571034600,0.077,0.0,0.0
1571044500,0.047,0.0,0.012
1571091300,0.085,0.0,0.0
1571135400,0.033,0.039,0.092
1571155200,0.017,0.0,0.015
1571159700,0.055,0.0,0.005
1571162400,0.075,0.0,0.0
1571165100,0.087,0.0,0.0
1571166900,0.081,0.0,0.0
1571200200,0.037,0.0,0.0
1571202000,0.08,0.0,0.0
1571215500,0.033,0.0,0.014
1571220900,0.022,0.0,0.027
1571227200,0.029,0.043,0.083
1571237100,0.529,0.0,0.01
1571254200,0.109,0.0,0.0
1571268600,0.072,0.0,0.0
1571269500,0.022,0.0,0.0
1571311800,0.052,0.0,0.028
1571312700,0.034,0.0,0.028
1571319000,0.068,0.0,0.017
1571342400,0.091,0.0,0.0
1571369400,0.06,0.0,0.0
1571373900,0.072,0.0,0.0
1571400000,0.038,0.033,0.064
1571402700,0.029,0.065,0.113
1571403600,0.195,0.026,0.098
1571430600,0.071,0.0,0.0
1571443200,0.045,0.0,0.0
1571445000,0.048,0.0,0.0
1571453100,0.077,0.0,0.0
1571461200,0.039,0.0,0.0
1571490900,0.826,0.0,0.024
1571497200,0.186,0.0,0.012
1571505300,0.02,0.0,0.004
1571508900,0.035,0.0,0.0
1571521500,0.067,0.0,0.0
1571539500,0.025,0.0,0.0
1571546700,0.081,0.0,0.0
1571583600,0.027,0.0,0.055
1571604300,0.056,0.0,0.0
1571639400,0.075,0.0,0.0
1571649300,0.034,0.031,0.058
1571650200,0.0,0.055,0.094
1571665500,0.025,0.035,0.069
1571677200,0.089,0.0,0.003
1571686200,0.032,0.0,0.0
1571688000,0.056,0.0,0.0
1571693400,0.035,0.0,0.0
1571698800,0.037,0.0,0.0
1571703300,0.037,0.0,0.0
1571706000,0.067,0.0,0.0
1571714100,0.028,0.0,0.0
1571723100,0.063,0.0,0.0
1571726700,0.079,0.0,0.0
1571731200,0.074,0.0,0.005
1571745600,0.0,0.062,0.113
1571751000,0.0,0.053,0.096
1571751900,0.025,0.052,0.093
1571759100,0.048,0.002,0.037
1571844600,0.019,0.0,0.011
1571849100,0.048,0.0,0.002
1571853600,0.074,0.0,0.0
1571876100,0.068,0.0,0.0
1571887800,0.029,0.0,0.0
1571926500,0.072,0.006,0.045
1571931900,0.013,0.007,0.028
1571946300,0.081,0.0,0.0
1571957100,0.055,0.0,0.0
1571985900,0.077,0.0,0.0
1571992200,0.018,0.003,0.021
1571993100,0.028,0.038,0.069
1571995800,0.026,0.056,0.095
1572000300,0.025,0.052,0.11
1572033600,0.048,0.0,0.0
1572075900,0.056,0.0,0.003
1572088500,0.445,0.0,0.107
1572091200,0.908,0.0,0.105
1572098400,0.696,0.0,0.078
1572102000,0.452,0.0,0.053
1572115500,0.041,0.0,0.0
1572116400,0.046,0.0,0.0
1572129900,0.044,0.0,0.0
1572149700,0.052,0.0,0.0
1572177600,0.059,0.0,0.03
1572182100,0.022,0.0,0.03
1572248700,0.042,0.0,0.01
1572259500,0.0,0.044,0.067
1572274800,0.015,0.0,0.014
1572280200,0.025,0.0,0.004
1572306300,0.03,0.0,0.0
1572316200,0.048,0.0,0.0
1572379200,0.088,0.0,0.0
1572380100,0.091,0.0,0.0
1572387300,0.081,0.0,0.0
1572425100,0.085,0.0,0.01
1572426900,0.049,0.0,0.013
1572435000,0.071,0.0,0.007
1572435900,0.051,0.0,0.012
1572448500,0.209,0.0,0.003
1572474600,0.057,0.0,0.0
1572485400,0.064,0.0,0.0
1572489900,0.049,0.0,0.0
1572503400,0.036,0.0,0.0
1572587100,0.044,0.0,0.0
1572626700,0.029,0.0,0.005
1572627600,0.069,0.0,0.001
1572648300,0.054,0.0,0.0
1572659100,0.044,0.0,0.0
1572660000,0.057,0.0,0.0
1572661800,0.076,0.0,0.0
1572690600,0.364,0.0,0.01
1572698700,0.731,0.0,0.024
1572703200,0.171,0.0,0.021
1572704100,0.101,0.0,0.02
1572707700,0.107,0.0,0.034
1572720300,0.036,0.0,0.0
1572735600,0.031,0.0,0.0
1572755400,0.082,0.0,0.0
1572764400,0.047,0.0,0.0
